day,month,year,flow,hyear,baseflow,Date
24,4,1960,329,1960,277.1111111111111,1960-04-24
25,4,1960,307,1960,276.8888888888889,1960-04-25
26,4,1960,324,1960,276.6666666666667,1960-04-26
27,4,1960,318,1960,276.44444444444446,1960-04-27
28,4,1960,299,1960,276.22222222222223,1960-04-28
29,4,1960,276,1960,276,1960-04-29
30,4,1960,302,1960,280.2,1960-04-30
1,5,1960,382,1960,284.4,1960-05-01
2,5,1960,400,1960,288.6,1960-05-02
3,5,1960,332,1960,292.8,1960-05-03
4,5,1960,297,1960,297,1960-05-04
5,5,1960,278,1960,278,1960-05-05
6,5,1960,321,1960,278,1960-05-06
7,5,1960,357,1960,278,1960-05-07
8,5,1960,365,1960,278,1960-05-08
9,5,1960,332,1960,278,1960-05-09
10,5,1960,297,1960,278,1960-05-10
11,5,1960,281,1960,278,1960-05-11
12,5,1960,278,1960,278,1960-05-12
13,5,1960,281,1960,272.5882352941176,1960-05-13
14,5,1960,281,1960,267.1764705882353,1960-05-14
15,5,1960,284,1960,261.7647058823529,1960-05-15
16,5,1960,284,1960,256.3529411764706,1960-05-16
17,5,1960,271,1960,250.94117647058823,1960-05-17
18,5,1960,271,1960,245.52941176470588,1960-05-18
19,5,1960,268,1960,240.11764705882354,1960-05-19
20,5,1960,268,1960,234.70588235294116,1960-05-20
21,5,1960,263,1960,229.29411764705884,1960-05-21
22,5,1960,260,1960,223.88235294117646,1960-05-22
23,5,1960,243,1960,218.47058823529412,1960-05-23
24,5,1960,236,1960,213.05882352941177,1960-05-24
25,5,1960,219,1960,207.64705882352942,1960-05-25
26,5,1960,204,1960,202.23529411764707,1960-05-26
27,5,1960,200,1960,196.8235294117647,1960-05-27
28,5,1960,195,1960,191.41176470588235,1960-05-28
29,5,1960,186,1960,186,1960-05-29
30,5,1960,173,1960,173,1960-05-30
31,5,1960,173,1960,173,1960-05-31
1,6,1960,179,1960,174.33333333333334,1960-06-01
2,6,1960,175,1960,170.44444444444446,1960-06-02
3,6,1960,177,1960,166.55555555555554,1960-06-03
4,6,1960,175,1960,162.66666666666666,1960-06-04
5,6,1960,164,1960,158.77777777777777,1960-06-05
6,6,1960,155,1960,154.88888888888889,1960-06-06
7,6,1960,151,1960,151,1960-06-07
8,6,1960,155,1960,154,1960-06-08
9,6,1960,168,1960,157,1960-06-09
10,6,1960,160,1960,160,1960-06-10
11,6,1960,191,1960,156.64705882352942,1960-06-11
12,6,1960,223,1960,153.2941176470588,1960-06-12
13,6,1960,202,1960,149.94117647058823,1960-06-13
14,6,1960,173,1960,146.58823529411765,1960-06-14
15,6,1960,164,1960,143.23529411764707,1960-06-15
16,6,1960,164,1960,139.88235294117646,1960-06-16
17,6,1960,153,1960,136.52941176470588,1960-06-17
18,6,1960,155,1960,133.1764705882353,1960-06-18
19,6,1960,153,1960,129.8235294117647,1960-06-19
20,6,1960,127,1960,126.47058823529412,1960-06-20
21,6,1960,133,1960,123.11764705882354,1960-06-21
22,6,1960,133,1960,119.76470588235294,1960-06-22
23,6,1960,127,1960,116.41176470588235,1960-06-23
24,6,1960,121,1960,113.05882352941177,1960-06-24
25,6,1960,113,1960,109.70588235294119,1960-06-25
26,6,1960,113,1960,106.35294117647058,1960-06-26
27,6,1960,103,1960,103,1960-06-27
28,6,1960,115,1960,107.36363636363636,1960-06-28
29,6,1960,151,1960,111.72727272727272,1960-06-29
30,6,1960,214,1960,116.0909090909091,1960-06-30
1,7,1960,313,1960,120.45454545454545,1960-07-01
2,7,1960,250,1960,124.81818181818181,1960-07-02
3,7,1960,209,1960,129.1818181818182,1960-07-03
4,7,1960,209,1960,133.54545454545456,1960-07-04
5,7,1960,191,1960,137.9090909090909,1960-07-05
6,7,1960,179,1960,142.27272727272728,1960-07-06
7,7,1960,170,1960,146.63636363636363,1960-07-07
8,7,1960,151,1960,151,1960-07-08
9,7,1960,243,1960,152.84615384615384,1960-07-09
10,7,1960,326,1960,154.69230769230768,1960-07-10
11,7,1960,255,1960,156.53846153846155,1960-07-11
12,7,1960,209,1960,158.3846153846154,1960-07-12
13,7,1960,271,1960,160.23076923076923,1960-07-13
14,7,1960,321,1960,162.07692307692307,1960-07-14
15,7,1960,260,1960,163.92307692307693,1960-07-15
16,7,1960,223,1960,165.76923076923077,1960-07-16
17,7,1960,197,1960,167.6153846153846,1960-07-17
18,7,1960,233,1960,169.46153846153845,1960-07-18
19,7,1960,216,1960,171.30769230769232,1960-07-19
20,7,1960,177,1960,173.15384615384616,1960-07-20
21,7,1960,175,1960,175,1960-07-21
22,7,1960,268,1960,171.83333333333334,1960-07-22
23,7,1960,231,1960,168.66666666666666,1960-07-23
24,7,1960,417,1960,165.5,1960-07-24
25,7,1960,374,1960,162.33333333333334,1960-07-25
26,7,1960,302,1960,159.16666666666666,1960-07-26
27,7,1960,245,1960,156,1960-07-27
28,7,1960,214,1960,152.83333333333334,1960-07-28
29,7,1960,223,1960,149.66666666666666,1960-07-29
30,7,1960,211,1960,146.5,1960-07-30
31,7,1960,197,1960,143.33333333333334,1960-07-31
1,8,1960,147,1960,140.16666666666669,1960-08-01
2,8,1960,137,1960,137,1960-08-02
3,8,1960,141,1960,137.66666666666666,1960-08-03
4,8,1960,147,1960,138.33333333333334,1960-08-04
5,8,1960,139,1960,139,1960-08-05
6,8,1960,147,1960,137.88,1960-08-06
7,8,1960,177,1960,136.76,1960-08-07
8,8,1960,164,1960,135.64,1960-08-08
9,8,1960,313,1960,134.52,1960-08-09
10,8,1960,334,1960,133.4,1960-08-10
11,8,1960,278,1960,132.28,1960-08-11
12,8,1960,223,1960,131.16,1960-08-12
13,8,1960,202,1960,130.04,1960-08-13
14,8,1960,253,1960,128.92,1960-08-14
15,8,1960,231,1960,127.8,1960-08-15
16,8,1960,209,1960,126.68,1960-08-16
17,8,1960,197,1960,125.56,1960-08-17
18,8,1960,191,1960,124.44,1960-08-18
19,8,1960,177,1960,123.32,1960-08-19
20,8,1960,219,1960,122.2,1960-08-20
21,8,1960,236,1960,121.08,1960-08-21
22,8,1960,193,1960,119.96,1960-08-22
23,8,1960,175,1960,118.84,1960-08-23
24,8,1960,160,1960,117.72,1960-08-24
25,8,1960,149,1960,116.6,1960-08-25
26,8,1960,137,1960,115.48,1960-08-26
27,8,1960,137,1960,114.36,1960-08-27
28,8,1960,131,1960,113.24,1960-08-28
29,8,1960,113,1960,112.12,1960-08-29
30,8,1960,111,1960,111,1960-08-30
31,8,1960,135,1960,112,1960-08-31
1,9,1960,258,1960,113,1960-09-01
2,9,1960,184,1960,114,1960-09-02
3,9,1960,151,1960,115,1960-09-03
4,9,1960,137,1960,116,1960-09-04
5,9,1960,117,1960,117,1960-09-05
6,9,1960,223,1960,119.54545454545455,1960-09-06
7,9,1960,726,1960,122.0909090909091,1960-09-07
8,9,1960,635,1960,124.63636363636364,1960-09-08
9,9,1960,435,1960,127.18181818181819,1960-09-09
10,9,1960,348,1960,129.72727272727272,1960-09-10
11,9,1960,268,1960,132.27272727272728,1960-09-11
12,9,1960,238,1960,134.8181818181818,1960-09-12
13,9,1960,179,1960,137.36363636363637,1960-09-13
14,9,1960,175,1960,139.9090909090909,1960-09-14
15,9,1960,153,1960,142.45454545454544,1960-09-15
16,9,1960,145,1960,145,1960-09-16
17,9,1960,137,1960,137,1960-09-17
18,9,1960,173,1960,165.8181818181818,1960-09-18
19,9,1960,608,1960,194.63636363636363,1960-09-19
20,9,1960,912,1960,223.45454545454544,1960-09-20
21,9,1960,1232,1960,252.27272727272728,1960-09-21
22,9,1960,1232,1960,281.0909090909091,1960-09-22
23,9,1960,1177,1960,309.9090909090909,1960-09-23
24,9,1960,836,1960,338.72727272727275,1960-09-24
25,9,1960,649,1960,367.54545454545456,1960-09-25
26,9,1960,535,1960,396.3636363636364,1960-09-26
27,9,1960,472,1960,425.1818181818182,1960-09-27
28,9,1960,454,1960,454,1960-09-28
29,9,1960,529,1960,457,1960-09-29
30,9,1960,615,1960,460,1960-09-30
1,10,1960,776,1960,463,1960-10-01
2,10,1960,1254,1960,466,1960-10-02
3,10,1960,1282,1960,469,1960-10-03
4,10,1960,758,1960,472,1960-10-04
5,10,1960,591,1960,475,1960-10-05
6,10,1960,506,1960,478,1960-10-06
7,10,1960,481,1960,481,1960-10-07
8,10,1960,642,1960,480.7857142857143,1960-10-08
9,10,1960,581,1960,480.57142857142856,1960-10-09
10,10,1960,503,1960,480.35714285714283,1960-10-10
11,10,1960,687,1960,480.14285714285717,1960-10-11
12,10,1960,740,1960,479.92857142857144,1960-10-12
13,10,1960,832,1960,479.7142857142857,1960-10-13
14,10,1960,854,1960,479.5,1960-10-14
15,10,1960,704,1960,479.2857142857143,1960-10-15
16,10,1960,854,1960,479.07142857142856,1960-10-16
17,10,1960,998,1960,478.85714285714283,1960-10-17
18,10,1960,769,1960,478.64285714285717,1960-10-18
19,10,1960,621,1960,478.42857142857144,1960-10-19
20,10,1960,532,1960,478.2142857142857,1960-10-20
21,10,1960,478,1960,478,1960-10-21
22,10,1960,621,1960,492.6666666666667,1960-10-22
23,10,1960,631,1960,507.3333333333333,1960-10-23
24,10,1960,522,1960,522,1960-10-24
25,10,1960,551,1960,513.6666666666666,1960-10-25
26,10,1960,666,1960,505.3333333333333,1960-10-26
27,10,1960,955,1960,497,1960-10-27
28,10,1960,858,1960,488.6666666666667,1960-10-28
29,10,1960,687,1960,480.3333333333333,1960-10-29
30,10,1960,588,1960,472,1960-10-30
31,10,1960,535,1960,463.6666666666667,1960-10-31
1,11,1960,500,1960,455.33333333333337,1960-11-01
2,11,1960,447,1960,447,1960-11-02
3,11,1960,697,1960,451.1,1960-11-03
4,11,1960,1232,1960,455.2,1960-11-04
5,11,1960,802,1960,459.3,1960-11-05
6,11,1960,974,1960,463.4,1960-11-06
7,11,1960,1161,1960,467.5,1960-11-07
8,11,1960,873,1960,471.6,1960-11-08
9,11,1960,697,1960,475.7,1960-11-09
10,11,1960,601,1960,479.8,1960-11-10
11,11,1960,535,1960,483.9,1960-11-11
12,11,1960,488,1960,488,1960-11-12
13,11,1960,510,1960,480.875,1960-11-13
14,11,1960,780,1960,473.75,1960-11-14
15,11,1960,828,1960,466.625,1960-11-15
16,11,1960,751,1960,459.5,1960-11-16
17,11,1960,662,1960,452.375,1960-11-17
18,11,1960,611,1960,445.25,1960-11-18
19,11,1960,548,1960,438.125,1960-11-19
20,11,1960,927,1960,431,1960-11-20
21,11,1960,1155,1960,423.875,1960-11-21
22,11,1960,858,1960,416.75,1960-11-22
23,11,1960,683,1960,409.625,1960-11-23
24,11,1960,568,1960,402.5,1960-11-24
25,11,1960,510,1960,395.375,1960-11-25
26,11,1960,457,1960,388.25,1960-11-26
27,11,1960,417,1960,381.125,1960-11-27
28,11,1960,374,1960,374,1960-11-28
29,11,1960,733,1960,380.125,1960-11-29
30,11,1960,1560,1960,386.25,1960-11-30
1,12,1960,1092,1960,392.375,1960-12-01
2,12,1960,806,1960,398.5,1960-12-02
3,12,1960,662,1960,404.625,1960-12-03
4,12,1960,535,1960,410.75,1960-12-04
5,12,1960,460,1960,416.875,1960-12-05
6,12,1960,423,1960,423,1960-12-06
7,12,1960,463,1960,446,1960-12-07
8,12,1960,851,1960,469,1960-12-08
9,12,1960,1486,1960,492,1960-12-09
10,12,1960,1374,1960,515,1960-12-10
11,12,1960,1699,1960,538,1960-12-11
12,12,1960,1529,1960,561,1960-12-12
13,12,1960,1188,1960,584,1960-12-13
14,12,1960,966,1960,607,1960-12-14
15,12,1960,806,1960,630,1960-12-15
16,12,1960,701,1960,653,1960-12-16
17,12,1960,676,1960,676,1960-12-17
18,12,1960,690,1960,657,1960-12-18
19,12,1960,773,1960,638,1960-12-19
20,12,1960,885,1960,619,1960-12-20
21,12,1960,784,1960,600,1960-12-21
22,12,1960,1276,1960,581,1960-12-22
23,12,1960,1391,1960,562,1960-12-23
24,12,1960,919,1960,543,1960-12-24
25,12,1960,747,1960,524,1960-12-25
26,12,1960,642,1960,505,1960-12-26
27,12,1960,558,1960,486,1960-12-27
28,12,1960,497,1960,467,1960-12-28
29,12,1960,466,1960,448,1960-12-29
30,12,1960,429,1960,429,1960-12-30
31,12,1960,403,1960,403,1960-12-31
1,1,1961,425,1961,396.62068965517244,1961-01-01
2,1,1961,404,1961,390.2413793103448,1961-01-02
3,1,1961,413,1961,383.86206896551727,1961-01-03
4,1,1961,541,1961,377.48275862068965,1961-01-04
5,1,1961,1188,1961,371.1034482758621,1961-01-05
6,1,1961,1041,1961,364.7241379310345,1961-01-06
7,1,1961,808,1961,358.3448275862069,1961-01-07
8,1,1961,680,1961,351.9655172413793,1961-01-08
9,1,1961,582,1961,345.58620689655174,1961-01-09
10,1,1961,531,1961,339.2068965517241,1961-01-10
11,1,1961,488,1961,332.82758620689657,1961-01-11
12,1,1961,514,1961,326.44827586206895,1961-01-12
13,1,1961,630,1961,320.0689655172414,1961-01-13
14,1,1961,561,1961,313.6896551724138,1961-01-14
15,1,1961,505,1961,307.3103448275862,1961-01-15
16,1,1961,447,1961,300.9310344827586,1961-01-16
17,1,1961,413,1961,294.55172413793105,1961-01-17
18,1,1961,386,1961,288.17241379310343,1961-01-18
19,1,1961,348,1961,281.7931034482759,1961-01-19
20,1,1961,337,1961,275.41379310344826,1961-01-20
21,1,1961,326,1961,269.0344827586207,1961-01-21
22,1,1961,326,1961,262.65517241379314,1961-01-22
23,1,1961,298,1961,256.2758620689655,1961-01-23
24,1,1961,290,1961,249.89655172413794,1961-01-24
25,1,1961,274,1961,243.51724137931035,1961-01-25
26,1,1961,258,1961,237.13793103448276,1961-01-26
27,1,1961,246,1961,230.75862068965517,1961-01-27
28,1,1961,231,1961,224.3793103448276,1961-01-28
29,1,1961,218,1961,218,1961-01-29
30,1,1961,197,1961,197,1961-01-30
31,1,1961,197,1961,197,1961-01-31
1,2,1961,266,1961,205.42857142857142,1961-02-01
2,2,1961,673,1961,209.64285714285714,1961-02-02
3,2,1961,561,1961,213.85714285714286,1961-02-03
4,2,1961,457,1961,218.07142857142858,1961-02-04
5,2,1961,395,1961,222.28571428571428,1961-02-05
6,2,1961,323,1961,226.5,1961-02-06
7,2,1961,298,1961,230.71428571428572,1961-02-07
8,2,1961,282,1961,234.92857142857144,1961-02-08
9,2,1961,271,1961,239.14285714285714,1961-02-09
10,2,1961,261,1961,243.35714285714286,1961-02-10
11,2,1961,261,1961,247.57142857142856,1961-02-11
